"","x"
"1",149.2
"2",148.4
"3",160.1
"4",171.8
"5",179.2
"6",154
"7",137.6
"8",105.5
"9",85
"10",115.6
"11",122.4
"12",132.1
"13",109.8
"14",108.6
"15",130.2
"16",124.9
"17",122.5
"18",99.8
"19",106.6
"20",105.8
"21",99.6
"22",98.5
"23",102
"24",86.9
"25",81.1
"26",83
"27",88.5
"28",97.7
"29",115.8
"30",123.5
"31",120.8
"32",116.7
"33",120.2
"34",129.8
"35",127.8
"36",132.8
"37",136.4
"38",149.6
"39",161.6
"40",173.6
"41",180.8
"42",184.3
"43",149.6
"44",153
"45",151.7
"46",152.1
"47",151.1
"48",153
"49",150.8
"50",167.4
"51",154.9
"52",152
"53",150.6
"54",141.6
"55",155.8
"56",167.6
"57",172.9
"58",176.9
"59",194.5
"60",204.1
"61",214
"62",209.6
"63",232.6
"64",237.7
"65",243.7
"66",249.6
"67",245.4
"68",265.7
"69",252.9
"70",241.4
"71",233.5
"72",248.1
"73",269.4
"74",292.1
"75",323.1
"76",359.8
"77",365.8
"78",410.3
"79",436.7
"80",454.8
"81",484.8
"82",469.7
"83",453.5
"84",466.7
"85",441.1
"86",473.7
"87",424.2
"88",399.9
"89",421
"90",452.4
"91",500.6
"92",552.1
"93",554.4
"94",584.7
"95",568.8
"96",598.9
"97",553.4
"98",569.2
"99",535.2
"100",581.1
"101",650.6
"102",646.4
"103",667.3
"104",715.5
"105",695.5
"106",547.5
"107",562.7
"108",631
"109",665.7
"110",693.7
"111",717
"112",750.2
"113",789.8
"114",816.9
"115",841.8
"116",847.5
"117",861.6
"118",841.2
"119",899.6
"120",924.3
"121",892.3
"122",847.4
"123",765.6
"124",803.3
"125",902
"126",906.4
"127",967.1
"128",964.7
"129",902
"130",995.8
"131",1026.7
"132",1028.6
"133",1015.1
"134",977.1
"135",931.2
"136",920.6
"137",896.3
"138",727.2
"139",842.1
"140",921.5
"141",1003.1
"142",997
"143",983.4
"144",1020.9
"145",1072
"146",1071.4
"147",1105.5
"148",1180.5
"149",1115.2
"150",1042.6
"151",1084.3
"152",975.5
"153",939.8
"154",860
"155",635.4
"156",685.6
"157",833.6
"158",951.9
"159",838.7
"160",801.9
"161",1027.7
"162",1042.8
"163",1052.4
"164",1074.6
"165",984.2
"166",1004.8
"167",965.3
"168",951
